n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score
1.0,15.0,0.9395811989630505,4.0,14.0,526.0,0.8466555075149251
0.0,18.0,0.37306909889575746,10.0,18.0,122.0,0.8445077268846916
1.0,18.0,0.19437324269743322,5.0,5.0,572.0,0.8538297673821023
0.0,4.0,0.6382423697609152,8.0,11.0,160.0,0.6357277191179425
0.0,9.0,0.5739582134149233,7.0,18.0,875.0,0.8215567914000399
0.0,19.0,0.24724646077469525,3.0,16.0,478.0,0.8665533849129607
0.0,16.0,0.42312063872926353,9.0,13.0,734.0,0.8498675995085975
0.0,18.0,0.5468200332370451,9.0,8.0,109.0,0.8414365118778404
0.0,14.0,0.8844867356168935,5.0,9.0,293.0,0.7955725133889503
1.0,17.0,0.7671544699312246,3.0,12.0,366.0,0.8547625759827369
1.0,1.0,1.0,1.0,20.0,1200.0,0.44424158837804895
1.0,20.0,0.1,10.0,20.0,1200.0,0.8108400603069625
1.0,12.0,1.0,1.0,20.0,1200.0,0.8377200293870743
1.0,20.0,0.2227000890664576,10.0,20.0,265.0,0.8238449706826559
0.0,18.0,0.1,2.0,20.0,1200.0,0.8518478705165048
0.0,18.0,1.0,10.0,20.0,696.0,0.7070282423580995
1.0,16.0,0.566674478208334,1.0,2.0,133.0,0.8605946654968195
0.0,11.0,0.1,1.0,2.0,50.0,0.8424401387082392
0.0,20.0,0.21351414358581997,1.0,6.0,707.0,0.877075659081385
0.0,19.0,0.3496076146677699,1.0,2.0,1200.0,0.8813846046986283
0.0,20.0,0.3598708514282042,1.0,2.0,50.0,0.872312454100876
0.0,18.0,0.21801750054617935,1.0,2.0,50.0,0.8670032726096336
1.0,9.0,0.1,10.0,2.0,1200.0,0.7928742772160661
1.0,19.0,0.35777832594573045,1.0,2.0,1200.0,0.8703087404905882
0.0,12.0,0.44462791972355087,1.0,2.0,1200.0,0.870191310213025
1.0,14.0,0.1,1.0,2.0,1200.0,0.8530864298663726
1.0,13.0,0.7113383607827661,1.0,2.0,1200.0,0.8630068392979169
1.0,20.0,0.6807672195679968,1.0,2.0,1200.0,0.8676257248309247
1.0,20.0,1.0,1.0,14.0,155.0,0.8496047057588901
0.0,18.0,0.3714066419919799,1.0,2.0,1200.0,0.8780359009465295
0.0,19.0,0.3564817063117207,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34827578065997267,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.3505226406601194,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.3505906374459079,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.35064131419959366,1.0,2.0,1200.0,0.8813846046986283
0.0,6.0,0.1,1.0,11.0,1033.0,0.7397940762070983
0.0,19.0,0.3608872189451615,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.3628899594798827,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.36859512277127704,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.38013713552021255,1.0,2.0,1200.0,0.8788298315295844
0.0,19.0,0.3482285323729053,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.338559604007498,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.3533581791809558,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34332428859613084,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.35413673504440457,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34448293948121317,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.345388685060446,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.3550030146524247,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34578919001314085,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34619264905056196,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.3464564042862375,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.35548463971217203,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34667354707812703,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.3555496288148082,1.0,2.0,1200.0,0.8813846046986283
1.0,11.0,0.4253623610999293,1.0,2.0,122.0,0.8555175094112147
0.0,19.0,0.355429820299744,1.0,2.0,1200.0,0.8813846046986283
1.0,16.0,0.923182570179487,1.0,2.0,1200.0,0.8637924334971154
0.0,13.0,0.2643639291367168,1.0,20.0,1200.0,0.8625582459867187
1.0,20.0,0.8327969748692198,1.0,17.0,1200.0,0.849925911054491
0.0,13.0,0.4324815901864342,1.0,2.0,1200.0,0.8730158495728236
0.0,19.0,0.3611130463200405,1.0,2.0,1200.0,0.8813846046986283
1.0,10.0,0.9146697201552461,10.0,2.0,813.0,0.8209972910910543
0.0,13.0,0.4341213653099296,1.0,2.0,1200.0,0.8730158495728236
0.0,19.0,0.3496551617045764,1.0,2.0,1200.0,0.8813846046986283
0.0,13.0,0.4344782887834642,1.0,2.0,1200.0,0.8730158495728236
0.0,19.0,0.3497429187561478,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34978577094359437,1.0,2.0,1200.0,0.8813846046986283
0.0,20.0,0.36357190965164843,1.0,2.0,1200.0,0.8796799607906076
0.0,19.0,0.3563830557416734,1.0,2.0,1200.0,0.8813846046986283
0.0,19.0,0.34419819025056164,1.0,2.0,1200.0,0.8813846046986283
1.0,13.0,0.5875372474083564,10.0,2.0,1200.0,0.8299713694690489
1.0,13.0,0.8503102021676736,1.0,2.0,1200.0,0.8603011526861529
0.0,19.0,0.3368395860377021,1.0,2.0,1200.0,0.8813846046986283
1.0,15.0,0.30446585519468483,1.0,2.0,1200.0,0.8660124017792311
1.0,20.0,0.19716602893027835,1.0,20.0,1200.0,0.8513903396147411
0.0,19.0,0.32462951719657274,1.0,2.0,1200.0,0.8842421482470131
0.0,19.0,0.3075330674377251,1.0,2.0,1200.0,0.8842421482470131
1.0,9.0,0.6191615679057665,1.0,2.0,1200.0,0.8339776279654373
0.0,19.0,0.29224073671965123,1.0,2.0,1200.0,0.8815163240212801
0.0,19.0,0.3104407833915197,1.0,2.0,1200.0,0.8842421482470131
0.0,9.0,0.9766926741439629,1.0,7.0,778.0,0.7264928119636007
1.0,1.0,0.34297291994950113,1.0,8.0,1200.0,0.5007036158527394
0.0,12.0,0.2649588324235249,10.0,3.0,889.0,0.8458677413463922
1.0,20.0,0.9773579309042966,10.0,4.0,726.0,0.8248017925246296
0.0,14.0,0.617483114335361,1.0,4.0,66.0,0.8625115728239672
0.0,19.0,0.304704590664945,1.0,2.0,1200.0,0.8842421482470131
0.0,19.0,0.30032520348154496,1.0,2.0,1200.0,0.8842421482470131
0.0,19.0,0.29702751061647636,1.0,2.0,1200.0,0.8842421482470131
0.0,10.0,0.3865247787892485,1.0,9.0,183.0,0.8528879842031755
0.0,19.0,0.29424378534573614,1.0,2.0,1200.0,0.8815163240212801
1.0,20.0,0.5401209785658005,1.0,6.0,156.0,0.8647531554408712
0.0,19.0,0.2943608151358802,1.0,2.0,1200.0,0.8815163240212801
0.0,19.0,0.2980839890946571,1.0,2.0,1200.0,0.8842421482470131
1.0,11.0,0.757861527095452,2.0,17.0,94.0,0.838909906436862
0.0,20.0,0.10842334464016244,9.0,3.0,314.0,0.8384420447859753
0.0,19.0,0.295739169377937,1.0,2.0,1200.0,0.8815163240212801
0.0,19.0,0.29848388186953134,1.0,2.0,1200.0,0.8842421482470131
0.0,19.0,0.2969038672201879,1.0,2.0,1200.0,0.8842421482470131
1.0,11.0,0.18328966965814292,1.0,19.0,619.0,0.8367486823057699
1.0,13.0,0.9988209884097786,1.0,4.0,56.0,0.8499888136203918
